timestamp,device_id,value,anomaly_score,threshold_used,severity,event_type,decision,explanation,model_version
2014-02-03 16:00:00,nab_office_temp_sensor_01,75.01779737,0.6245,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-10 13:00:00,nab_office_temp_sensor_01,73.54807891,0.6209,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-16 23:00:00,nab_office_temp_sensor_01,64.32817118,0.6884,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 00:00:00,nab_office_temp_sensor_01,66.17891449,0.7107,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 02:00:00,nab_office_temp_sensor_01,64.79075623,0.6697,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 03:00:00,nab_office_temp_sensor_01,64.67428457,0.6707,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 04:00:00,nab_office_temp_sensor_01,64.36980786,0.6579,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 05:00:00,nab_office_temp_sensor_01,63.50098479,0.737,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 06:00:00,nab_office_temp_sensor_01,63.81534068,0.6534,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 07:00:00,nab_office_temp_sensor_01,64.24808886,0.6458,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 08:00:00,nab_office_temp_sensor_01,63.39175042,0.7337,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 09:00:00,nab_office_temp_sensor_01,65.78667951,0.7102,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 11:00:00,nab_office_temp_sensor_01,66.52420616,0.6274,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 12:00:00,nab_office_temp_sensor_01,68.3216973,0.6669,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 13:00:00,nab_office_temp_sensor_01,69.51920746,0.7478,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 14:00:00,nab_office_temp_sensor_01,70.41798643,0.8378,0.6091,HIGH,TEMPERATURE_ANOMALY,CREATE_ALERT_AND_REQUIRE_HUMAN_CHECK,anomaly score is above operating threshold,iforest_v2
2014-02-17 15:00:00,nab_office_temp_sensor_01,69.85636686,0.7704,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 16:00:00,nab_office_temp_sensor_01,70.50368788,0.7203,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 17:00:00,nab_office_temp_sensor_01,71.55722128,0.7717,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 18:00:00,nab_office_temp_sensor_01,72.21400820000002,0.7769,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 19:00:00,nab_office_temp_sensor_01,72.23486752,0.7417,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-17 20:00:00,nab_office_temp_sensor_01,72.30190595,0.6412,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-02-24 18:00:00,nab_office_temp_sensor_01,75.94820959999998,0.6612,0.6091,MEDIUM,TEMPERATURE_PATTERN_DEVIATION,CREATE_WARNING_EVENT,value deviates strongly from recent pattern,iforest_v2
2014-03-01 09:00:00,nab_office_temp_sensor_01,66.66557183,0.675,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-01 11:00:00,nab_office_temp_sensor_01,65.80440933,0.6204,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-03 23:00:00,nab_office_temp_sensor_01,67.80571471,0.6328,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 06:00:00,nab_office_temp_sensor_01,62.71784797,0.6637,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 07:00:00,nab_office_temp_sensor_01,62.10356599,0.7012,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 08:00:00,nab_office_temp_sensor_01,62.35873434,0.6639,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 09:00:00,nab_office_temp_sensor_01,62.26844161,0.6587,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 10:00:00,nab_office_temp_sensor_01,64.14762913,0.7386,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 11:00:00,nab_office_temp_sensor_01,66.74519744,0.7724,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 12:00:00,nab_office_temp_sensor_01,66.88478620000001,0.6946,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 13:00:00,nab_office_temp_sensor_01,67.39191825,0.7234,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 14:00:00,nab_office_temp_sensor_01,66.3784179,0.6507,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 15:00:00,nab_office_temp_sensor_01,67.24728902,0.6819,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 16:00:00,nab_office_temp_sensor_01,68.80478948,0.7567,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 17:00:00,nab_office_temp_sensor_01,67.78706753,0.7566,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 18:00:00,nab_office_temp_sensor_01,67.6234333,0.6929,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
2014-03-07 19:00:00,nab_office_temp_sensor_01,68.13243751,0.6683,0.6091,MEDIUM,TEMPERATURE_ANOMALY,CREATE_WARNING_EVENT,anomaly score is above operating threshold,iforest_v2
